t,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,u22,u23,u24,u25,u26,u27,u28,u29,u30,u31,u32,u33,u34,u35,u36,u37,u38,u39,u40,u41,u42,u43,u44,u45,u46,u47,u48,u49,u50
0 ,0.02,0.02,0,0,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0,0.02,0.06,0,0.08,0,0.02,0.02,0.04,0,0.04,0,0.02,0,0,0.04,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.04,0,0.04,0.02,0,0.02,0.02,0.02,0,0,0,0.04,0,0.02
0.00113636 ,0.02,0.02,0,0,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0,0.02,0.06,0,0.08,0,0.02,0.02,0.04,0,0.02,0.02,0.02,0,0,0.04,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.04,0,0.04,0.02,0,0.02,0.02,0.02,0,0,0,0.04,0,0.02
0.00220019 ,0.02,0.02,0,0,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0,0.02,0.06,0,0.08,0,0.02,0.02,0.04,0,0.02,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.04,0,0.04,0.02,0,0.02,0.02,0.02,0,0,0,0.04,0,0.02
0.00328597 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.04,0.04,0.02,0,0.02,0.06,0,0.08,0,0.02,0.02,0.04,0,0.02,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.04,0,0.04,0.02,0,0.02,0.02,0.02,0,0,0,0.04,0,0.02
0.0043624 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.04,0.04,0.02,0,0.02,0.06,0,0.08,0,0.02,0.04,0.02,0,0.02,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.04,0,0.04,0.02,0,0.02,0.02,0.02,0,0,0,0.04,0,0.02
0.00540298 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.04,0.04,0.02,0,0.02,0.06,0,0.08,0,0.02,0.04,0.02,0,0.02,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.02,0.02,0,0,0,0.04,0,0.02
0.00647479 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.04,0.04,0.02,0,0.02,0.06,0.02,0.06,0,0.02,0.04,0.02,0,0.02,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.02,0.02,0,0,0,0.04,0,0.02
0.00759086 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.04,0.04,0.02,0,0.02,0.06,0.02,0.06,0,0.02,0.04,0.02,0,0.02,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.00868019 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.04,0.04,0.02,0,0.02,0.06,0.02,0.06,0,0.02,0.02,0.04,0,0.02,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.00970688 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0.02,0.06,0.02,0.06,0,0.02,0.02,0.04,0,0.02,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0108192 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0.02,0.04,0.04,0.06,0,0.02,0.02,0.04,0,0.02,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0119403 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0,0.02,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0130261 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.02,0,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0141335 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0.02,0.02,0.06,0.04,0.02,0.02,0.02,0.04,0.02,0,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0152508 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0.02,0.02,0.06,0.04,0,0.04,0.02,0.04,0.02,0,0.02,0.02,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.016309 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0.02,0.02,0.06,0.04,0,0.04,0.02,0.04,0.02,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0174428 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0.02,0.02,0.06,0.04,0,0.04,0.02,0.06,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.04,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0185564 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0.02,0.02,0.06,0.06,0,0.04,0.02,0.06,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0196601 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0,0.04,0.06,0.06,0,0.04,0.02,0.06,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0.02,0.02,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0206826 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0,0.04,0.06,0.06,0,0.04,0.02,0.06,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0.02,0.02,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0218334 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0,0.04,0.06,0.06,0,0.04,0.02,0.06,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0229168 ,0.02,0.02,0,0,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0,0,0.06,0.04,0.06,0,0.04,0.02,0.06,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0239784 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.06,0.02,0.02,0,0,0.06,0.04,0.06,0,0.04,0.02,0.06,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0250785 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.06,0.04,0.06,0,0.04,0.02,0.06,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0260805 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.06,0.04,0.06,0,0.04,0,0.08,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0271604 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.04,0.06,0.06,0,0.04,0,0.08,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0282053 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.06,0,0.04,0,0.08,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0292459 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.06,0.02,0.02,0,0.08,0,0,0.04,0,0,0.02,0.02,0.04,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0303247 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.06,0.02,0.02,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0314046 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0.02,-6.93889e-18,0.08,0.06,0.02,0.02,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0324892 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0.02,-6.93889e-18,0.08,0.06,0.02,0.02,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0,0.06,0,0,0,0,0.04,0,0.02
0.0335429 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0.02,0,0.02,-6.93889e-18,0.08,0.06,0.02,0.02,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0,0.06,0,0,0,0,0.04,0,0.02
0.0346565 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0.02,0,0.02,-6.93889e-18,0.08,0.06,0.02,0.02,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0,0.02,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0,0.06,0,0,0,0,0.04,0,0.02
0.0356993 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0.02,-6.93889e-18,0.08,0.06,0.02,0.02,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0,0.02,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0,0.06,0,0,0,0,0.04,0,0.02
0.0368153 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0.02,-6.93889e-18,0.08,0.08,0,0.02,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0,0.02,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0,0.06,0,0,0,0,0.04,0,0.02
0.0379389 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.08,0,0.02,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0,0.02,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0,0.06,0,0,0,0,0.04,0,0.02
0.0390937 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.08,0,0.02,0,0.08,0,0,0.04,0,0,0,0.06,0.02,0,0,0.02,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0,0.06,0,0,0,0,0.04,0,0.02
0.040206 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.08,0,0.02,0,0.08,0,0,0.04,0,0,0,0.06,0.02,0,0,0.02,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0412942 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.08,0,0.02,0,0.08,0,0.02,0.02,0,0,0,0.06,0.02,0,0,0.02,0.04,0,0.02,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0424127 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.08,0,0.02,0,0.08,0,0.02,0.02,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0434631 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.06,0.02,0.02,0,0.08,0,0.02,0.02,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.044573 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.06,0.04,0,0,0.08,0,0.02,0.02,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0.02,0,0.04,0.02,0.04,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0455924 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.06,0.04,0,0,0.08,0,0.02,0.02,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0.02,0,0.04,0.02,0.04,0,0.04,0.02,0,0,0,0,0.04,0,0.02
0.0467249 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0,0.02,0,0,0.02,0.08,0.06,0.04,0,0,0.08,0,0,0.04,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0.02,0,0.04,0.02,0.04,0,0.04,0.02,0,0,0,0,0.04,0,0.02
0.0477698 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0.02,0,0,0.02,0.08,0.06,0.04,0,0,0.08,0,0,0.04,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0.02,0,0.04,0.02,0.04,0,0.04,0.02,0,0,0,0,0.04,0,0.02
0.0488871 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0,0.04,0.08,0.06,0.04,0,0,0.08,0,0,0.04,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0.02,0,0.04,0.02,0.04,0,0.04,0.02,0,0,0,0,0.04,0,0.02
0.0499836 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0,0.06,0.06,0.06,0.04,0,0,0.08,0,0,0.04,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0.02,0,0.04,0.02,0.04,0,0.04,0.02,0,0,0,0,0.04,0,0.02
0.0510635 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.06,0.06,0.04,0,0,0.08,0,0,0.04,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0.02,0,0.04,0.02,0.04,0,0.04,0.02,0,0,0,0,0.04,0,0.02
0.0521331 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.06,0.06,0.04,0,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0.02,0,0.04,0.02,0.04,0,0.04,0.02,0,0,0,0,0.04,0,0.02
0.053272 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.06,0.06,0.04,0,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.04,0.02,0.04,0,0.04,0.02,0,0,0,0,0.04,0,0.02
0.0543906 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.06,0.06,0.04,0,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0,0.02,0.02,0.04,0,0.02,0,0,0.02,0.04,0.02,0.04,0,0.04,0.02,0,0,0,0,0.04,0,0.02
0.0554421 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.06,0.08,0.02,0,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0,0.02,0.02,0.04,0,0.02,0,0,0.02,0.04,0.02,0.04,0,0.04,0.02,0,0,0,0,0.04,0,0.02
0.0565386 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.06,0.08,0.02,0,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0,0.02,0.02,0.04,0,0.02,0,0,0.02,0.04,0.04,0.02,0,0.04,0.02,0,0,0,0,0.04,0,0.02
0.057622 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.06,0.08,0.02,0,0,0.08,0,0,0.04,0,0,0.02,0.04,0.02,0,0,0.02,0.02,0.04,0,0.02,0,0,0.02,0.04,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0586802 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.06,0.08,0.02,0,0,0.08,0,0,0.02,0.02,0,0.02,0.04,0.02,0,0,0.02,0.02,0.04,0,0.02,0,0,0.02,0.04,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0597672 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.06,0.08,0.02,0,0,0.08,0,0,0.02,0.02,0,0.02,0.04,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.04,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0608709 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.08,0.06,0.02,0,0,0.08,0,0,0.02,0.02,0,0.02,0.04,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.04,0.04,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0620034 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.08,0.06,0.02,0,0,0.08,0,0,0.02,0.02,0,0.02,0.04,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0631233 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.08,0.06,0.02,0,0,0.08,0,0,0.02,0.02,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0642222 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0,0,0,0.02,0.04,0.08,0.06,0.02,0,0,0.08,0,0.02,0,0.02,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0653211 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.08,0,0,0,0.02,0.04,0.08,0.06,0.02,0,0,0.08,0,0.02,0,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0665017 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.08,0,0,0,0.02,0.04,0.06,0.08,0.02,0,0,0.08,0,0.02,0,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0676103 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.04,0.06,0.08,0.02,0,0,0.08,0,0.02,0,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0687056 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.04,0.08,0.06,0.02,0,0,0.08,0,0.02,0,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0697672 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.04,0.08,0.06,0.02,0,0.02,0.06,0,0.02,0,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0708495 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.04,0.1,0.04,0.02,0,0.02,0.06,0,0.02,0,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0720069 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.04,0.1,0.04,0.02,0,0.02,0.06,0,0.02,0,0,0,0,0.06,0.02,0,0,0.02,0.02,0.04,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0730938 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.04,0.1,0.04,0.02,0,0.02,0.06,0,0.02,0,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0741964 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.04,0.08,0.06,0.02,0,0.02,0.06,0,0.02,0,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0753174 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.04,0.08,0.04,0.04,0,0.02,0.06,0,0.02,0,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0764829 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.04,0.08,0.04,0.04,0,0.02,0.06,0,0,0.02,0,0,0,0.06,0.02,0,0,0.02,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0775746 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.04,0.08,0.04,0.04,0,0.02,0.06,0,0,0.02,0,0,0,0.06,0.02,0,0.02,0,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0786034 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.04,0.08,0.04,0.02,0.02,0.02,0.06,0,0,0.02,0,0,0,0.06,0.02,0,0.02,0,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.079688 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.06,0.06,0.04,0.02,0.02,0.02,0.06,0,0,0.02,0,0,0,0.06,0.02,0,0.02,0,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0808116 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.06,0.06,0.04,0.02,0.02,0.02,0.06,0,0,0.02,0,0,0,0.06,0.02,0,0.02,0.02,0.02,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0819327 ,0.02,0.02,0,0,0.04,0.02,0.04,0.04,0.06,0.02,0,0,0.02,0.06,0.06,0.04,0.02,0.02,0.02,0.06,0,0,0.02,0,0,0,0.06,0.02,0,0.02,0,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0830795 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0.02,0,0,0.02,0.06,0.06,0.04,0.02,0.02,0.02,0.06,0,0,0.02,0,0,0,0.06,0.02,0,0.02,0,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0841993 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0.02,0,0,0.02,0.06,0.06,0.04,0.02,0.02,0.04,0.04,0,0,0.02,0,0,0,0.06,0.02,0,0.02,0,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0853154 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0.02,0,0,0.02,0.06,0.06,0.04,0.02,0.04,0.02,0.04,0,0,0.02,0,0,0,0.06,0.02,0,0.02,0,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.02,0.04,0,0,0,0,0.04,0,0.02
0.0864441 ,0.02,0.02,0,0,0.04,0.02,0.04,0.02,0.08,0.02,0,0,0.02,0.06,0.06,0.04,0.02,0.04,0.02,0.04,0,0,0.02,0,0,0,0.06,0.02,0,0.02,0,0.04,0.02,0,0.02,0,0,0.02,0.06,0.02,0.02,0,0.04,0.02,0,0,0,0,0.04,0,0.02
